z,qc,fs,u2
0.01,0.01,0,0.001
0.02,0.01,0.0001,0.001
0.03,0.01,0.0001,0.001
0.04,0.01,0.0001,0.003
0.05,0.01,0.0001,0.003
0.06,0.01,0.0002,0.004
0.07,0.01,0.0002,0.004
0.08,0.01,0.0002,0.005
0.09,0.01,0.0002,0.005
0.1,0.01,0.0002,0.005
0.11,0.01,0.0002,0.005
0.12,0.01,0.0001,0.005
0.13,0.01,0.0002,0.005
0.14,0.01,0.0002,0.005
0.15,0.01,0.0002,0.005
0.16,0.01,0.0002,0.005
0.17,0.02,0.0003,0.005
0.18,0.02,0.0003,0.007
0.19,0.02,0.0002,0.007
0.2,0.02,0.0002,0.007
0.21,0.02,0.0003,0.007
0.22,0.02,0.0002,0.007
0.23,0.03,0.0004,0.009
0.24,0.02,0.0004,0.009
0.25,0.02,0.0004,0.009
0.26,0.02,0.0003,0.009
0.27,0.02,0.0003,0.008
0.28,0.02,0.0004,0.009
0.29,0.02,0.0004,0.009
0.3,0.02,0.0005,0.011
0.31,0.02,0.0005,0.011
0.32,0.02,0.0005,0.012
0.33,0.02,0.0006,0.012
0.34,0.02,0.0005,0.012
0.35,0.02,0.0005,0.012
0.36,0.03,0.0005,0.012
0.37,0.03,0.0007,0.013
0.38,0.03,0.0006,0.012
0.39,0.03,0.0005,0.013
0.4,0.04,0.0006,0.015
0.41,0.03,0.0006,0.015
0.42,0.02,0.0005,0.015
0.43,0.03,0.0004,0.016
0.44,0.03,0.0005,0.016
0.45,0.03,0.0005,0.016
0.46,0.03,0.0005,0.017
0.47,0.04,0.0005,0.017
0.48,0.04,0.0005,0.019
0.49,0.04,0.0005,0.019
0.5,0.04,0.0005,0.019
0.51,0.04,0.0005,0.02
0.52,0.04,0.0006,0.021
0.53,0.04,0.0005,0.02
0.54,0.04,0.0005,0.021
0.55,0.04,0.0005,0.021
0.56,0.04,0.0005,0.021
0.57,0.04,0.0006,0.023
0.58,0.04,0.0006,0.023
0.59,0.05,0.0007,0.024
0.6,0.05,0.0007,0.024
0.61,0.04,0.0007,0.024
0.62,0.04,0.0007,0.025
0.63,0.05,0.0007,0.025
0.64,0.05,0.0008,0.025
0.65,0.05,0.0007,0.024
0.66,0.05,0.0007,0.025
0.67,0.05,0.0008,0.025
0.68,0.06,0.0008,0.025
0.69,0.06,0.0009,0.027
0.7,0.05,0.0009,0.027
0.71,0.05,0.0009,0.028
0.72,0.05,0.0009,0.028
0.73,0.05,0.001,0.028
0.74,0.06,0.001,0.029
0.75,0.06,0.001,0.029
0.76,0.06,0.001,0.029
0.77,0.06,0.0011,0.029
0.78,0.06,0.0011,0.029
0.79,0.06,0.0012,0.031
0.8,0.06,0.0012,0.031
0.81,0.06,0.0011,0.029
0.82,0.06,0.0012,0.031
0.83,0.06,0.0011,0.031
0.84,0.06,0.0012,0.032
0.85,0.06,0.0011,0.032
0.86,0.05,0.0011,0.032
0.87,0.06,0.0012,0.032
0.88,0.06,0.0012,0.033
0.89,0.06,0.0013,0.033
0.9,0.06,0.0012,0.033
0.91,0.06,0.0013,0.033
0.92,0.07,0.0013,0.035
0.93,0.07,0.0013,0.035
0.94,0.06,0.0013,0.035
0.95,0.07,0.0013,0.035
0.96,0.07,0.0014,0.036
0.97,0.07,0.0013,0.036
0.98,0.06,0.0013,0.036
0.99,0.07,0.0014,0.036
1,0.07,0.0014,0.037
1.01,0.07,0.0014,0.037
1.02,0.07,0.0014,0.037
1.03,0.07,0.0015,0.037
1.04,0.07,0.0015,0.037
1.05,0.07,0.0017,0.039
1.06,0.07,0.0017,0.039
1.07,0.07,0.0017,0.039
1.08,0.07,0.0016,0.039
1.09,0.08,0.0016,0.039
1.1,0.08,0.0018,0.04
1.11,0.07,0.0017,0.039
1.12,0.08,0.0018,0.04
1.13,0.09,0.0019,0.041
1.14,0.08,0.0018,0.043
1.15,0.08,0.0018,0.043
1.16,0.08,0.0018,0.043
1.17,0.08,0.0018,0.043
1.18,0.08,0.002,0.043
1.19,0.08,0.002,0.044
1.2,0.08,0.002,0.043
1.21,0.08,0.0021,0.043
1.22,0.08,0.0022,0.043
1.23,0.09,0.0023,0.041
1.24,0.09,0.0023,0.041
1.25,0.08,0.0022,0.04
1.26,0.08,0.0022,0.04
1.27,0.08,0.0022,0.044
1.28,0.08,0.0022,0.044
1.29,0.09,0.0023,0.044
1.3,0.09,0.0023,0.045
1.31,0.08,0.0023,0.045
1.32,0.08,0.0024,0.045
1.33,0.08,0.0023,0.045
1.34,0.09,0.0024,0.045
1.35,0.09,0.0024,0.044
1.36,0.09,0.0024,0.044
1.37,0.09,0.0025,0.045
1.38,0.08,0.0024,0.045
1.39,0.09,0.0024,0.045
1.4,0.09,0.0024,0.045
1.41,0.09,0.0024,0.045
1.42,0.09,0.0024,0.047
1.43,0.09,0.0024,0.047
1.44,0.08,0.0024,0.047
1.45,0.09,0.0023,0.048
1.46,0.09,0.0023,0.048
1.47,0.09,0.0024,0.048
1.48,0.09,0.0024,0.048
1.49,0.09,0.0024,0.049
1.5,0.09,0.0024,0.049
1.51,0.1,0.0024,0.051
1.52,0.09,0.0024,0.051
1.53,0.09,0.0024,0.051
1.54,0.1,0.0025,0.052
1.55,0.1,0.0025,0.052
1.56,0.1,0.0025,0.052
1.57,0.1,0.0025,0.053
1.58,0.1,0.0025,0.053
1.59,0.1,0.0025,0.055
1.6,0.1,0.0026,0.055
1.61,0.1,0.0027,0.055
1.62,0.11,0.0027,0.056
1.63,0.11,0.0028,0.056
1.64,0.1,0.0028,0.056
1.65,0.1,0.0028,0.057
1.66,0.1,0.0028,0.056
1.67,0.1,0.0027,0.056
1.68,0.1,0.0026,0.055
1.69,0.1,0.0027,0.056
1.7,0.1,0.0027,0.056
1.71,0.1,0.0028,0.056
1.72,0.1,0.0028,0.056
1.73,0.1,0.0028,0.057
1.74,0.1,0.0029,0.06
1.75,0.1,0.0029,0.06
1.76,0.1,0.0028,0.059
1.77,0.1,0.0028,0.059
1.78,0.11,0.0028,0.057
1.79,0.11,0.0028,0.057
1.8,0.11,0.0027,0.057
1.81,0.11,0.0027,0.057
1.82,0.11,0.0027,0.061
1.83,0.11,0.0027,0.06
1.84,0.11,0.0027,0.06
1.85,0.11,0.0028,0.06
1.86,0.11,0.0028,0.06
1.87,0.11,0.0028,0.06
1.88,0.11,0.003,0.059
1.89,0.11,0.003,0.059
1.9,0.11,0.003,0.057
1.91,0.11,0.0031,0.057
1.92,0.11,0.0031,0.057
1.93,0.1,0.0031,0.06
1.94,0.11,0.0032,0.061
1.95,0.11,0.0032,0.06
1.96,0.1,0.0033,0.059
1.97,0.11,0.0033,0.06
1.98,0.11,0.0033,0.059
1.99,0.11,0.0033,0.057
2,0.11,0.0033,0.059
2.01,0.1,0.0033,0.059
2.02,0.11,0.0033,0.06
2.03,0.11,0.0033,0.061
2.04,0.11,0.0032,0.06
2.05,0.11,0.0033,0.06
2.06,0.11,0.0033,0.06
2.07,0.11,0.0034,0.059
2.08,0.11,0.0033,0.059
2.09,0.11,0.0033,0.059
2.1,0.11,0.0032,0.059
2.11,0.11,0.0032,0.059
2.12,0.11,0.0031,0.059
2.13,0.11,0.0031,0.06
2.14,0.11,0.0031,0.06
2.15,0.11,0.0032,0.063
2.16,0.11,0.0031,0.063
2.17,0.11,0.0032,0.063
2.18,0.12,0.0032,0.063
2.19,0.12,0.0032,0.063
2.2,0.12,0.0032,0.063
2.21,0.11,0.0033,0.063
2.22,0.1,0.0033,0.061
2.23,0.11,0.0033,0.061
2.24,0.11,0.0034,0.061
2.25,0.11,0.0034,0.061
2.26,0.11,0.0034,0.061
2.27,0.11,0.0035,0.063
2.28,0.12,0.0035,0.063
2.29,0.12,0.0035,0.065
2.3,0.12,0.0035,0.065
2.31,0.11,0.0035,0.065
2.32,0.12,0.0036,0.067
2.33,0.12,0.0035,0.065
2.34,0.12,0.0035,0.065
2.35,0.12,0.0035,0.065
2.36,0.12,0.0035,0.065
2.37,0.12,0.0036,0.065
2.38,0.12,0.0036,0.065
2.39,0.12,0.0037,0.065
2.4,0.12,0.0037,0.065
2.41,0.12,0.0037,0.065
