a_x,a_z,rms_amplitude,rms_reflectivity
0.001,0.01,6.391736532962953e-08,0.06355189977221705
0.001,0.05,7.381051683972865e-08,0.050352834391645646
0.001,0.1,7.226314510985031e-08,0.04315573042849502
0.001,0.5,7.565602812096289e-08,0.029533048120028625
0.001,1.0,6.786228336913157e-08,0.02425331673375761
0.01,0.01,6.586328649504676e-08,0.06356405836740218
0.01,0.05,7.552458036741096e-08,0.050332394913618864
0.01,0.1,8.385697936801889e-08,0.0431405670356133
0.01,0.5,7.246465851662981e-08,0.029563014158166184
0.01,1.0,6.667118945523533e-08,0.024310231166640068
0.1,0.01,9.741907520976206e-08,0.06354953606034722
0.1,0.05,1.318699389852831e-07,0.05034835930309606
0.1,0.1,1.3115353715012605e-07,0.043137142930053884
0.1,0.5,7.826700407154874e-08,0.029553330063226517
0.1,1.0,6.531168070922758e-08,0.024321179456920475
1.0,0.01,1.5182689162549161e-07,0.06352456726724524
1.0,0.05,2.212028917477865e-07,0.05037149288201644
1.0,0.1,2.112989298019277e-07,0.043151553290812876
1.0,0.5,1.1605386700862957e-07,0.02941418380120552
1.0,1.0,9.532657159920125e-08,0.02407639440623577
10.0,0.01,1.6979888339584306e-07,0.06354086179765195
10.0,0.05,2.3775434456305295e-07,0.05032008246370123
10.0,0.1,2.4367507261562094e-07,0.04311809258954094
10.0,0.5,1.7371665031586192e-07,0.02913050302631283
10.0,1.0,1.4795959292097388e-07,0.02374006150016282
100.0,0.01,1.5797584377100888e-07,0.06359183321366126
100.0,0.05,2.2527319533023202e-07,0.050895908598810234
100.0,0.1,2.3948976121454086e-07,0.04313311877498994
100.0,0.5,1.8049233066740223e-07,0.028065571255961992
100.0,1.0,1.5848572304262154e-07,0.02313537709724932
1000.0,0.01,1.6951488533979267e-07,0.06427302770303592
1000.0,0.05,2.4014581063436334e-07,0.051077923967650936
1000.0,0.1,2.3486334043188078e-07,0.04330552107927096
1000.0,0.5,1.7688594551077812e-07,0.029256710608063636
1000.0,1.0,1.4947090617556556e-07,0.02509396492785965
10000.0,0.01,1.7086357001823158e-07,0.06375214807502806
10000.0,0.05,2.3057333305913947e-07,0.051311258718838605
10000.0,0.1,2.363054223036197e-07,0.04367928360222844
10000.0,0.5,1.7435612025757643e-07,0.02980584388577895
10000.0,1.0,1.5745399442658269e-07,0.02590601306526031
