a_x,a_z,rms_amplitude,rms_reflectivity
0.001,0.01,4.572272698817394e-07,0.13766069596844627
0.001,0.05,5.773190107775683e-07,0.10907406298627986
0.001,0.1,6.607965906524199e-07,0.09347057990272346
0.001,0.5,5.80573245098998e-07,0.06403201462444537
0.001,1.0,5.522071797250742e-07,0.052580638462526516
0.01,0.01,4.2825012965291156e-07,0.1376517689231462
0.01,0.05,6.699788663476125e-07,0.10898245875069276
0.01,0.1,6.921182533874851e-07,0.09342660645669232
0.01,0.5,6.091102446370972e-07,0.06405181414500724
0.01,1.0,5.601279630261573e-07,0.05263895925154452
0.1,0.01,8.386483954709494e-07,0.13765162676806064
0.1,0.05,1.1211714055738308e-06,0.10905823875679034
0.1,0.1,1.2501558048976126e-06,0.0934053661528334
0.1,0.5,7.478739700230503e-07,0.0641190501609142
0.1,1.0,6.099409203567115e-07,0.05267990882489443
1.0,0.01,1.1514110769307224e-06,0.13755925178131567
1.0,0.05,1.5528330488347256e-06,0.10889807310938332
1.0,0.1,1.6222274381377057e-06,0.09347430622473867
1.0,0.5,1.0617221180372727e-06,0.06369097876603218
1.0,1.0,7.930454299256427e-07,0.052203488702439536
10.0,0.01,1.2671292632682474e-06,0.13752502202325584
10.0,0.05,1.7029759052105643e-06,0.10936974400634769
10.0,0.1,1.679892771720052e-06,0.09360756067035422
10.0,0.5,1.1232901340765297e-06,0.06149264845369583
10.0,1.0,9.738345056152123e-07,0.050964794357297755
100.0,0.01,1.248029938296281e-06,0.13796858060839734
100.0,0.05,1.6933514809918103e-06,0.11035016936701786
100.0,0.1,1.7518867308349763e-06,0.09329783369475472
100.0,0.5,1.3015335846913616e-06,0.06133537636575124
100.0,1.0,1.1368349908448746e-06,0.050104240452297874
1000.0,0.01,1.207411361977242e-06,0.1388256832150015
1000.0,0.05,1.7157303110133792e-06,0.1110890576931436
1000.0,0.1,1.7293962418999894e-06,0.09404194496421953
1000.0,0.5,1.3161147653964303e-06,0.06340565877322646
1000.0,1.0,1.152522770764517e-06,0.05503393042621412
10000.0,0.01,1.2223886756016014e-06,0.13810866450268994
10000.0,0.05,1.6798279515772032e-06,0.11114354389167883
10000.0,0.1,1.7067826519825084e-06,0.0944376639799089
10000.0,0.5,1.2664862015206634e-06,0.06449284443243175
10000.0,1.0,1.1270227731515205e-06,0.05616835198146643
