a_x,a_z,rms_amplitude,rms_reflectivity
0.001,0.01,2.213207628600369e-08,0.016775450837742397
0.001,0.05,2.533583308425448e-08,0.013291859149967993
0.001,0.1,2.6795063712386436e-08,0.011390405278009191
0.001,0.5,2.0973447537541126e-08,0.007802996387728558
0.001,1.0,2.0660854948616982e-08,0.006407521837223614
0.01,0.01,2.1624594475025245e-08,0.016774362980322352
0.01,0.05,2.814934810636003e-08,0.013280696179013876
0.01,0.1,2.7822878396209648e-08,0.011385046636046281
0.01,0.5,2.2839932748594804e-08,0.007805409174337397
0.01,1.0,1.903781216396066e-08,0.006414628858745678
0.1,0.01,4.21872513564055e-08,0.01677434565718132
0.1,0.05,5.709241210294277e-08,0.01328993079574911
0.1,0.1,5.612524426256831e-08,0.011382458274345378
0.1,0.5,2.615992837817322e-08,0.007813602613077758
0.1,1.0,2.177764310052613e-08,0.006419619008982281
1.0,0.01,5.479025218950179e-08,0.016763088761828047
1.0,0.05,7.821334168466357e-08,0.013270412872168453
1.0,0.1,7.892388686419955e-08,0.011390859370815664
1.0,0.5,4.813361049955426e-08,0.007761437464635294
1.0,1.0,3.900216953688655e-08,0.006361562043004242
10.0,0.01,6.1258382520601e-08,0.016758917494063625
10.0,0.05,8.369272527348026e-08,0.013327891093442538
10.0,0.1,8.016676550095761e-08,0.011407097872194768
10.0,0.5,5.3730819440694763e-08,0.007493547041589851
10.0,1.0,4.877624124043148e-08,0.006210613684478737
100.0,0.01,6.106096327767407e-08,0.01681296992483447
100.0,0.05,8.509120482636116e-08,0.013447366571336165
100.0,0.1,8.577763507175375e-08,0.011369354276495661
100.0,0.5,6.250679323577109e-08,0.007474381729654562
100.0,1.0,5.398784835599786e-08,0.00610574584529636
1000.0,0.01,6.013346547862573e-08,0.016917417185825248
1000.0,0.05,8.553523292963821e-08,0.01353740813841022
1000.0,0.1,8.563629606742377e-08,0.011460032315938224
1000.0,0.5,6.277806523107974e-08,0.007726668124856317
1000.0,1.0,5.54323651778357e-08,0.006706482106441652
10000.0,0.01,6.114613444996163e-08,0.016830040668704638
10000.0,0.05,8.405071999870904e-08,0.013544047873437205
10000.0,0.1,8.477333391862264e-08,0.011508254975620092
10000.0,0.5,6.132061245920098e-08,0.007859153504573389
10000.0,1.0,5.5747646470807644e-08,0.006844723693087223
