a_x,a_z,rms_amplitude,rms_reflectivity
0.001,0.01,9.74669202299929e-08,0.06355890337035525
0.001,0.05,1.1964419294687647e-07,0.050360255560135014
0.001,0.1,1.186200985926979e-07,0.04315601860221599
0.001,0.5,9.659133198624879e-08,0.029564027709529747
0.001,1.0,9.164363103773015e-08,0.024276847474004708
0.01,0.01,9.800858465962221e-08,0.06355478169128326
0.01,0.05,1.3267349545831593e-07,0.05031796124571919
0.01,0.1,1.3146075736986494e-07,0.04313571575551389
0.01,0.5,9.968524847679976e-08,0.029573169286254437
0.01,1.0,8.69493680772571e-08,0.024303774589021842
0.1,0.01,1.9901395276965916e-07,0.06355471605728887
0.1,0.05,2.692454633474667e-07,0.050352949403021964
0.1,0.1,2.725870135518415e-07,0.04312590895909295
0.1,0.5,1.4415259343577803e-07,0.029604212623700752
0.1,1.0,1.0973898483713898e-07,0.02432268129261863
1.0,0.01,2.6454541794807976e-07,0.06351206588168819
1.0,0.05,3.6643062826850297e-07,0.05027899980662356
1.0,0.1,3.739545855073471e-07,0.04315773907107775
1.0,0.5,2.426503120529055e-07,0.029406569075326173
1.0,1.0,1.8269125087471278e-07,0.024102714799540997
10.0,0.01,2.972396249689307e-07,0.06349626176367466
10.0,0.05,3.9581425812629884e-07,0.05049677354917128
10.0,0.1,3.878976091731251e-07,0.043219263577931044
10.0,0.5,2.574989431234777e-07,0.028391584639028248
10.0,1.0,2.2854490131517228e-07,0.023530800981770426
100.0,0.01,2.9114723764355736e-07,0.06370105585579923
100.0,0.05,4.033628892520278e-07,0.050949442775650854
100.0,0.1,4.0956525057786833e-07,0.043076260473269755
100.0,0.5,3.0128006801024687e-07,0.028318971019213227
100.0,1.0,2.6154633788233126e-07,0.02313347724235385
1000.0,0.01,2.860115123569653e-07,0.06409678610667728
1000.0,0.05,4.072257844441028e-07,0.05129059266880904
1000.0,0.1,4.083080116472128e-07,0.04341982183579222
1000.0,0.5,3.03502135666642e-07,0.02927483484483434
1000.0,1.0,2.660649917122443e-07,0.025409549482826674
10000.0,0.01,2.9034244452544245e-07,0.0637657335667352
10000.0,0.05,3.9907705548425997e-07,0.05131574932665785
10000.0,0.1,4.0392906270952914e-07,0.04360252806506898
10000.0,0.5,2.9432199402788743e-07,0.029776796045690824
10000.0,1.0,2.643319463333178e-07,0.0259333198263099
