a_x,a_z,rms_amplitude,rms_reflectivity
0.001,0.01,1.1204499749519556e-07,0.06355890337035525
0.001,0.05,1.4368425137272463e-07,0.050360255560135014
0.001,0.1,1.5821318620009338e-07,0.04315601860221599
0.001,0.5,1.3188985858884075e-07,0.029564027709529747
0.001,1.0,1.2405582830750268e-07,0.024276847474004708
0.01,0.01,1.0768537729207724e-07,0.06355478169128326
0.01,0.05,1.5738136489919768e-07,0.05031796124571919
0.01,0.1,1.5967003196180343e-07,0.04313571575551389
0.01,0.5,1.3877079712971888e-07,0.029573169286254437
0.01,1.0,1.1580939168022466e-07,0.024303774589021842
0.1,0.01,2.0599741630571398e-07,0.06355471605728887
0.1,0.05,2.751264108192476e-07,0.050352949403021964
0.1,0.1,2.8823003406195516e-07,0.04312590895909295
0.1,0.5,1.5289094985903007e-07,0.029604212623700752
0.1,1.0,1.3653958259719618e-07,0.02432268129261863
1.0,0.01,2.631398620871606e-07,0.06351206588168819
1.0,0.05,3.689318449782045e-07,0.05027899980662356
1.0,0.1,3.733657494932259e-07,0.04315773907107775
1.0,0.5,2.485589115923269e-07,0.029406569075326173
1.0,1.0,1.9001920360262127e-07,0.024102714799540997
10.0,0.01,2.995709308082791e-07,0.06349626176367466
10.0,0.05,3.9731399998861567e-07,0.05049677354917128
10.0,0.1,3.896138740896021e-07,0.043219263577931044
10.0,0.5,2.5959991484182727e-07,0.028391584639028248
10.0,1.0,2.2972136033006778e-07,0.023530800981770426
100.0,0.01,2.917955714262046e-07,0.06370105585579923
100.0,0.05,4.029115174345834e-07,0.050949442775650854
100.0,0.1,4.1022670319167386e-07,0.043076260473269755
100.0,0.5,3.015753821195308e-07,0.028318971019213227
100.0,1.0,2.61948979646421e-07,0.02313347724235385
1000.0,0.01,2.860482282709471e-07,0.06409678610667728
1000.0,0.05,4.072610480592823e-07,0.05129059266880904
1000.0,0.1,4.079826499103663e-07,0.04341982183579222
1000.0,0.5,3.036088035163491e-07,0.02927483484483434
1000.0,1.0,2.6630383837941925e-07,0.025409549482826674
10000.0,0.01,2.9013695671181954e-07,0.0637657335667352
10000.0,0.05,3.9888515278089935e-07,0.05131574932665785
10000.0,0.1,4.0399619500238517e-07,0.04360252806506898
10000.0,0.5,2.940808936387717e-07,0.029776796045690824
10000.0,1.0,2.643895607283653e-07,0.0259333198263099
